image_path,model_name,patch_size,orig_class,orig_logit,pert_class,pert_logit_target,pert_logit_pred,attack_success,patch_pos_y,patch_pos_x,time_seconds
/kaggle/input/imagenet1kvalid/00198/526564330069758.jpg,resnet18,32,198,-1.7743,286,-1.9968,-1.1968,True,0,0,0.53
/kaggle/input/imagenet1kvalid/00705/7234265312422494.jpg,resnet18,32,820,-0.5541,820,-2.0174,-2.0174,False,37,125,0.07
/kaggle/input/imagenet1kvalid/00198/526564330069758.jpg,resnet18,128,198,-1.7743,196,-2.6886,16.7853,True,0,0,1.66
/kaggle/input/imagenet1kvalid/00198/526564330069758.jpg,resnet18,64,198,-1.7743,286,-5.3032,8.3446,True,36,68,1.35
/kaggle/input/imagenet1kvalid/00705/7234265312422494.jpg,resnet18,128,820,-0.5541,634,-5.0372,17.8739,True,0,96,1.42
/kaggle/input/imagenet1kvalid/00705/7234265312422494.jpg,resnet18,64,820,-0.5541,634,-3.7966,5.3691,True,0,99,1.42
/kaggle/input/imagenet1kvalid/00547/6237971080611286.jpg,resnet18,128,547,6.2843,705,-4.1797,11.7108,True,62,0,1.35
/kaggle/input/imagenet1kvalid/00547/6237971080611286.jpg,resnet18,64,547,6.2843,705,-0.5576,3.4197,True,78,0,1.35
/kaggle/input/imagenet1kvalid/00547/6237971080611286.jpg,resnet18,32,547,6.2843,547,1.2594,1.2594,False,108,0,1.43
/kaggle/input/imagenet1kvalid/00730/871806364779407.jpg,resnet18,128,730,-0.4851,525,-4.8569,41.1688,True,66,46,1.43
/kaggle/input/imagenet1kvalid/00730/871806364779407.jpg,resnet18,64,730,-0.4851,525,-4.9716,15.1227,True,102,93,1.35
/kaggle/input/imagenet1kvalid/00730/871806364779407.jpg,resnet18,32,730,-0.4851,447,-4.8529,5.1362,True,136,113,1.35
/kaggle/input/imagenet1kvalid/00464/141898359624055.jpg,resnet18,128,533,-1.1706,658,-5.2034,22.1514,True,96,0,1.42
/kaggle/input/imagenet1kvalid/00464/141898359624055.jpg,resnet18,64,533,-1.1706,658,-4.8201,8.5563,True,160,52,1.43
/kaggle/input/imagenet1kvalid/00464/141898359624055.jpg,resnet18,32,533,-1.1706,658,-3.8973,1.8556,True,192,60,1.35
/kaggle/input/imagenet1kvalid/00610/1872032018963004.jpg,resnet18,128,610,-0.9260,841,-4.5487,14.4653,True,0,0,1.40
/kaggle/input/imagenet1kvalid/00610/1872032018963004.jpg,resnet18,64,610,-0.9260,578,-5.1562,6.2529,True,29,72,1.35
/kaggle/input/imagenet1kvalid/00610/1872032018963004.jpg,resnet18,32,610,-0.9260,982,-5.1043,2.6233,True,60,104,1.43
/kaggle/input/imagenet1kvalid/00481/537486878042953.jpg,resnet18,128,549,-0.6805,918,-3.6181,31.3116,True,0,96,1.37
